Freelancer_ID;Job_Category;Platform;Experience_Level;Client_Region;Payment_Method;Job_Completed;Earnings_USD;Hourly_Rate;Job_Success_Rate;Client_Rating;Job_Duration_Days;Project_Type;Rehire_Rate;Marketing_Spend;PC1;PC2
15;App Development;Freelancer;Beginner;UK;Crypto;245;9347;11.6;59.09;4.14;40;Hourly;77.6;362;0.7559319286600655;0.6436464525797537
16;Data Entry;Freelancer;Intermediate;UK;Bank Transfer;149;9332;51.07;59.17;4.18;61;Hourly;37.66;411;0.17552996321291944;1.4524428274381358
17;Customer Support;Toptal;Expert;UK;Mobile Banking;18;1657;49.55;65.21;3.37;44;Hourly;60.99;9;0.18636542304880496;-2.684460215
18;Customer Support;Freelancer;Intermediate;Middle East;PayPal;279;5124;29.85;76.24;3.72;62;Hourly;34.21;56;-1.205510903;-0.395247503
19;Graphic Design;PeoplePerHour;Expert;Asia;Crypto;75;7203;92.55;71.6;3.67;44;Hourly;56.98;198;0.9360352646310668;0.062914299
20;Data Entry;PeoplePerHour;Beginner;Canada;Bank Transfer;199;6783;44.69;64.56;3.05;48;Hourly;66.38;160;0.7905063197484966;-0.803838582
21;SEO;Toptal;Beginner;USA;PayPal;15;116;87.09;80.59;3.05;74;Hourly;76.27;262;1.5808688680897165;-1.89536902
22;Data Entry;Fiverr;Expert;UK;Crypto;110;8050;15.42;56.97;4.66;59;Fixed;38.01;388;-0.649776042;0.8483840754278821
23;Customer Support;Upwork;Intermediate;USA;Crypto;262;7695;35.29;64.61;3.55;57;Hourly;64.83;473;1.2296999430837894;0.8816646723204902
24;Graphic Design;Fiverr;Beginner;Canada;Bank Transfer;200;9520;21.75;68.32;4.04;11;Fixed;28.61;380;-0.246033841;1.2595367638847794
25;Graphic Design;Fiverr;Expert;Middle East;PayPal;149;4208;43.8;72.8;3.6;25;Fixed;79.32;252;1.2659980071846668;-0.995666965
26;Content Writing;Fiverr;Intermediate;Canada;Bank Transfer;224;9055;15.61;89.26;4.88;61;Hourly;11.8;118;-2.930888201;1.419126056717819
27;App Development;Fiverr;Expert;Europe;Crypto;178;452;46.9;59.98;3.52;46;Fixed;52.25;79;0.3746990347396094;-2.037520461
28;Digital Marketing;Upwork;Intermediate;Asia;Crypto;220;7975;38.62;75.71;3.86;54;Fixed;56.17;123;-0.420969609;0.1017191320998092
29;Web Development;Freelancer;Intermediate;UK;Mobile Banking;97;4216;26.21;79.62;4.75;34;Hourly;58.16;312;-0.270482415;-0.100722361
30;Web Development;Fiverr;Intermediate;Middle East;Crypto;264;2975;66.01;52.32;4.68;84;Fixed;18.43;71;-1.007946461;0.088310578
31;Data Entry;PeoplePerHour;Intermediate;Europe;Crypto;67;3043;95.34;80.38;3.37;7;Hourly;75.7;469;2.8194670443211085;-0.304301706
32;Content Writing;Toptal;Expert;UK;PayPal;33;9328;24.68;58.53;4.61;62;Fixed;22.68;481;-0.806465876;1.4318552510556661
33;Data Entry;Toptal;Expert;Canada;PayPal;279;821;72.62;53.25;3.92;57;Fixed;53.59;167;1.0754089090002443;-0.866976654
34;Web Development;PeoplePerHour;Expert;Canada;Mobile Banking;289;7421;75.53;97.44;3.97;76;Hourly;25.59;283;-0.776875625;1.9078857742800226
35;App Development;Fiverr;Expert;Australia;Mobile Banking;74;9911;52.32;98.28;3.27;5;Fixed;31.51;493;0.30414785764155616;1.446269393533764
36;Customer Support;Upwork;Expert;Australia;Mobile Banking;283;5763;90.28;90.42;3.16;76;Fixed;48.25;35;-0.054053249;0.030316166990397277
37;App Development;Freelancer;Intermediate;Canada;Bank Transfer;235;8217;96.81;65.23;4.46;35;Hourly;39.2;311;0.8758045037323037;1.8473149463140905
38;App Development;Toptal;Beginner;Canada;Bank Transfer;259;1606;39.41;54.88;3.99;84;Hourly;21.22;174;-0.771856667;-0.588377651
39;Graphic Design;Freelancer;Beginner;USA;Mobile Banking;176;1201;66.85;84.21;3.87;37;Fixed;21.97;198;-0.37604106;-0.429483124
40;Customer Support;Upwork;Expert;Asia;Bank Transfer;184;5364;67.91;72.01;4.46;60;Fixed;39.27;115;-0.563648759;0.2653754304111031
41;Digital Marketing;Toptal;Expert;USA;Crypto;268;1267;43.35;56.1;4.53;65;Hourly;63.01;423;1.124131545633495;0.029210049066689094
42;Customer Support;Freelancer;Beginner;Asia;Mobile Banking;187;3994;35.1;74.76;3.32;16;Fixed;72.86;314;1.3577219554775484;-0.890838421
43;Content Writing;Upwork;Intermediate;Europe;Mobile Banking;209;8089;93.71;51.72;4.22;30;Hourly;15.89;426;0.9814669264817137;2.0302067964065444
44;Graphic Design;Freelancer;Expert;Australia;Bank Transfer;253;2092;80.05;95.47;3.27;73;Hourly;37.52;219;0.033284337;-0.09197759
45;Digital Marketing;Fiverr;Intermediate;Australia;PayPal;217;6353;15.87;62.94;4.5;42;Hourly;17.02;378;-0.922789428;1.0249004125003447
46;Content Writing;Upwork;Beginner;Canada;Mobile Banking;163;8947;16.39;83.13;4.31;61;Fixed;11.16;65;-2.756908099;0.6010580609851408
47;Content Writing;Freelancer;Beginner;Canada;Bank Transfer;104;2719;92.64;65.59;4.91;74;Fixed;56.32;264;0.601750194;0.22164018412823994
48;Web Development;Fiverr;Expert;Europe;Bank Transfer;116;2163;12.73;76;3.14;77;Fixed;52.17;133;-0.720668763;-2.047873101
49;Graphic Design;Fiverr;Intermediate;Middle East;PayPal;170;3027;70.4;77.34;3.11;48;Hourly;21.41;118;-0.27037225;-0.811792783
50;Content Writing;Upwork;Expert;Middle East;Mobile Banking;40;4428;26.54;59.24;3.56;62;Fixed;26.37;121;-1.060021717;-1.406219607
51;SEO;PeoplePerHour;Beginner;Middle East;PayPal;116;7277;8.34;98.48;3.52;84;Hourly;11.66;320;-2.310301202;0.5956986546534994
52;App Development;Toptal;Intermediate;Australia;Crypto;91;6311;10.67;88.76;3.49;64;Fixed;68.45;386;-0.08141903;-0.321256418
53;Content Writing;Upwork;Expert;USA;PayPal;187;472;40.48;96.97;4.81;57;Hourly;78.23;457;0.5746424714159329;0.13045931939346295
54;Digital Marketing;Fiverr;Expert;Middle East;PayPal;89;8772;12.37;94.74;3.5;68;Hourly;19.48;420;-1.564148465;0.9921623940132391
55;Web Development;Fiverr;Expert;UK;Bank Transfer;273;140;61.68;79.89;3.54;46;Fixed;26.2;382;0.5134204877896992;-0.046787156
56;Data Entry;Upwork;Beginner;Europe;PayPal;169;3422;66.49;96.09;4.52;28;Hourly;70.79;491;1.2384344917548709;0.901050575
57;App Development;PeoplePerHour;Expert;Middle East;Crypto;94;6086;40.48;54.42;3.9;77;Fixed;74.85;86;0.16541795591825292;-1.233852205
58;Web Development;Toptal;Intermediate;UK;Bank Transfer;242;1992;75.57;59.8;4.55;3;Fixed;39.37;288;1.1430848100284035;0.1792025410995436
59;Data Entry;Freelancer;Expert;Middle East;Crypto;26;3855;51.55;52.26;3.13;37;Fixed;13.54;136;-0.292641355;-1.512765873
60;Graphic Design;Upwork;Beginner;USA;PayPal;171;9482;45.87;66.27;3.98;48;Fixed;12.76;52;-1.583489808;0.5549377058563295
61;Graphic Design;Toptal;Expert;USA;Crypto;219;147;43.66;69.43;3.07;19;Fixed;50.18;204;0.978861207;-1.786252142
62;Content Writing;Toptal;Beginner;Middle East;Crypto;62;1529;45.96;63.57;3.13;83;Hourly;37.5;347;0.3032989678820383;-1.271928094
63;SEO;Fiverr;Beginner;UK;PayPal;34;4676;96.95;91.44;4.81;17;Fixed;12.01;50;-1.263830084;0.37175384339988937
64;Graphic Design;Freelancer;Intermediate;Europe;PayPal;110;5197;69.73;67.84;3.28;82;Hourly;50.83;326;0.7505689195347115;-0.173409041
65;Customer Support;Upwork;Intermediate;UK;Bank Transfer;171;3697;34.94;64.05;4.06;82;Fixed;10.79;409;-0.832013226;0.5394041267559226
66;Content Writing;Fiverr;Expert;Europe;Bank Transfer;158;5493;74.72;77.13;3.82;87;Hourly;65.12;399;0.9747166387298365;0.6349354953624164
67;App Development;Fiverr;Beginner;Middle East;Mobile Banking;11;129;36.38;57.05;3.69;40;Hourly;31.45;39;-0.614088936;-2.627619517
68;Web Development;PeoplePerHour;Beginner;Europe;Bank Transfer;201;5627;16.94;90.11;4.8;50;Fixed;12.82;249;-2.220585803;0.9926854273078309
69;Graphic Design;Toptal;Intermediate;Canada;PayPal;50;2273;50.16;53.73;3.04;73;Hourly;51.18;217;0.6728178240414385;-1.906433507
70;Customer Support;Upwork;Intermediate;Australia;Crypto;22;2619;76.35;99.34;4.33;29;Fixed;37.84;178;-0.543656366;-0.378256762
71;Web Development;Upwork;Expert;Asia;Crypto;157;4568;40.88;88.61;4.93;51;Fixed;78.17;38;-0.710668893;-0.538465785
72;Web Development;Upwork;Beginner;Australia;Bank Transfer;268;1173;87.57;59.94;4.12;42;Fixed;48.09;182;1.1229633909524606;-0.388459431
73;SEO;Fiverr;Intermediate;USA;Bank Transfer;78;2673;41.76;50.28;4.87;29;Hourly;29.27;223;-0.343216567;-0.561882156
74;Graphic Design;PeoplePerHour;Expert;Canada;PayPal;149;1453;38.23;90.77;3.1;66;Hourly;59.66;163;-0.105437973;-1.668615835
75;Web Development;Freelancer;Beginner;Australia;Crypto;106;2628;99.83;85.34;3.84;17;Hourly;29;233;0.5559231982941244;-0.04533207
76;SEO;Fiverr;Beginner;Middle East;Mobile Banking;125;381;50.83;86.45;3.52;31;Hourly;73.3;376;1.418797369;-1.186057129
77;SEO;Freelancer;Intermediate;Europe;Mobile Banking;180;7535;81.5;88.56;4.46;52;Fixed;36.23;192;-0.562657792;1.3211115783125567
78;Graphic Design;PeoplePerHour;Expert;Europe;Bank Transfer;67;789;81.47;53.7;4.96;39;Fixed;48.49;496;1.5499832344859035;0.22512539336847864
79;SEO;Toptal;Intermediate;UK;Mobile Banking;88;8283;93.01;67.92;3.51;60;Hourly;13.54;84;-0.618033809;0.38290974324611565
80;Graphic Design;Upwork;Expert;UK;PayPal;19;5030;13.07;55.79;4.31;51;Hourly;39.83;460;-0.116422246;-0.156536888
81;Customer Support;Freelancer;Beginner;Europe;Mobile Banking;138;3928;30.77;93.16;3.4;84;Fixed;68.27;242;-0.272057719;-0.858164363
82;Graphic Design;Fiverr;Expert;Middle East;Bank Transfer;125;1999;77.94;81.16;4.13;16;Hourly;66.4;473;1.9228568518176365;0.11707322570954291
83;Data Entry;Freelancer;Expert;Europe;PayPal;132;3510;58.45;66.54;3.93;14;Fixed;25.7;172;-0.04826833;-0.560839404
84;Web Development;Toptal;Expert;UK;Crypto;292;2178;58.16;53.18;4.94;84;Hourly;25.83;392;-0.049706525;1.0717459766459456
85;Customer Support;Upwork;Expert;Australia;PayPal;184;4547;20.79;65.55;4.22;42;Hourly;67.21;36;-0.397844675;-1.280783233
86;Digital Marketing;Freelancer;Expert;USA;Bank Transfer;86;2204;31.71;66.26;3.7;51;Hourly;75.13;86;0.28709581357673314;-2.21037243
87;Graphic Design;Toptal;Intermediate;UK;Bank Transfer;17;5280;54.53;86.48;3.23;24;Fixed;16.68;128;-0.928456281;-0.83314088
88;Web Development;Fiverr;Expert;Middle East;Mobile Banking;28;7494;31.33;81.88;3.3;82;Fixed;41.5;193;-1.098084517;-0.537230861
89;App Development;PeoplePerHour;Expert;Australia;Mobile Banking;172;1287;24.98;94.36;3.45;43;Hourly;33.62;318;-0.541212901;-0.742176774
90;SEO;Fiverr;Beginner;Australia;Crypto;274;8747;13.34;73.61;3.5;73;Hourly;70.95;42;-0.673246923;-0.465654811
91;Content Writing;Upwork;Expert;Australia;Crypto;74;5290;19.79;55.98;4.7;19;Hourly;15.85;411;-0.592426872;0.450500377
92;Graphic Design;Fiverr;Beginner;Canada;Bank Transfer;93;4865;78.04;85.66;4.12;84;Hourly;24.78;355;-0.529219659;0.9356704520674517
93;SEO;Fiverr;Intermediate;Canada;Bank Transfer;193;9636;73.28;88.04;4.05;61;Hourly;62.67;158;-0.071351933;1.048821286095577
94;SEO;Fiverr;Intermediate;Asia;Bank Transfer;261;306;9.35;78.06;3.23;63;Hourly;13.59;104;-1.603192985;-1.550928712
95;SEO;Fiverr;Expert;Australia;Crypto;221;1770;24.31;88.55;4.72;26;Hourly;44.48;452;-0.102471263;0.49772761965367834
96;SEO;Upwork;Intermediate;Middle East;Bank Transfer;36;7397;58.24;74.69;4.45;35;Hourly;40.95;228;-0.398207135;0.3827633265990019
97;SEO;Toptal;Expert;Europe;Crypto;145;7126;35.65;76.14;3.14;67;Fixed;33.41;216;-0.664250862;-0.192686454
98;Graphic Design;Freelancer;Intermediate;Middle East;Bank Transfer;165;1121;83.21;71.38;4.42;56;Fixed;37.62;263;0.3549220172569598;-0.05358105
99;App Development;PeoplePerHour;Expert;Canada;PayPal;36;1672;79.57;51.27;4.09;40;Fixed;47.1;417;1.6119344102105302;-0.524364628
100;Digital Marketing;Freelancer;Expert;UK;PayPal;156;2116;89.7;55.39;3.16;29;Fixed;21.3;486;1.8697324170248022;0.084069102
101;Data Entry;Freelancer;Beginner;Asia;Bank Transfer;264;9311;58.48;51.57;3.92;6;Hourly;50.04;48;0.539938029;0.19535087757367436
102;SEO;PeoplePerHour;Beginner;Canada;PayPal;220;8692;38.45;81.82;3.97;52;Fixed;66.38;351;0.34068743278279834;1.0126353888010855
103;SEO;Upwork;Beginner;Europe;Crypto;283;947;62.58;65.72;3.33;1;Fixed;63.21;441;2.5653445434905264;-0.501548528
104;Data Entry;PeoplePerHour;Beginner;USA;Mobile Banking;289;5225;13.47;75.43;4.89;52;Hourly;20.77;122;-2.06920304;0.5460835603723683
105;App Development;Upwork;Expert;Asia;PayPal;102;8323;5.91;95.38;4.7;24;Fixed;20.45;458;-1.610190482;1.621683676378246
106;Customer Support;Freelancer;Intermediate;Canada;Mobile Banking;34;8978;6.62;62.46;4.34;34;Fixed;28.77;302;-1.15308651;0.31755574481772353
107;App Development;Upwork;Expert;Middle East;PayPal;94;4224;43.72;70.52;3.92;7;Fixed;35.28;24;-0.581928485;-1.280788555
108;Customer Support;Toptal;Beginner;Asia;Crypto;152;5831;26.67;87.78;3.82;75;Fixed;38.59;130;-1.533873222;-0.299397773
109;Graphic Design;PeoplePerHour;Beginner;Middle East;PayPal;148;3994;19.95;61.44;4.3;11;Fixed;57.58;428;0.8757568216040648;-0.204942518
110;Web Development;Toptal;Intermediate;Australia;PayPal;71;6476;63.46;53.85;4.09;36;Hourly;13.97;369;0.093895641;0.6846583351441385
111;Content Writing;Freelancer;Beginner;Australia;Bank Transfer;62;5485;99.53;64.49;3.12;20;Hourly;12.43;435;1.301324725131741;0.566007856
112;Content Writing;PeoplePerHour;Expert;Australia;Mobile Banking;285;9933;21.89;58.06;4.03;63;Hourly;37.43;223;-0.715239646;1.0203237205842368
113;Web Development;Freelancer;Expert;Asia;Mobile Banking;283;9421;56.91;96.48;4.61;80;Fixed;58.8;499;0.028426969;2.803411758394121
114;Graphic Design;Toptal;Expert;USA;Crypto;240;2985;16.37;90.41;3.92;63;Fixed;23.54;98;-1.969472154;-0.556257581
115;Content Writing;Freelancer;Expert;Europe;Crypto;132;5883;93.75;81.67;3.1;69;Fixed;54.91;351;1.2634979498696757;0.3638069240263447
116;App Development;PeoplePerHour;Expert;Asia;Mobile Banking;213;8138;32.72;93.57;4.57;88;Hourly;28.19;289;-1.877430213;1.6699587827950029
117;Data Entry;PeoplePerHour;Intermediate;UK;Bank Transfer;190;511;88.44;90.18;3.4;30;Fixed;72.03;484;2.4226413801837574;-0.186968281
118;Web Development;Freelancer;Expert;Middle East;Bank Transfer;173;166;31.89;59.33;3.52;30;Fixed;72.7;499;2.119271089035386;-1.190266604
119;App Development;PeoplePerHour;Beginner;Middle East;Mobile Banking;176;5835;81.57;94.63;3.33;84;Fixed;30.81;196;-0.570943068;0.49364636627275815
120;Digital Marketing;PeoplePerHour;Beginner;Asia;PayPal;264;6557;24.89;76.97;3.66;22;Fixed;26.1;108;-1.005881607;-0.063367048
121;Graphic Design;Freelancer;Beginner;Asia;Mobile Banking;209;9896;32.81;90.37;4.51;61;Hourly;38.79;347;-1.117111728;1.9414756372820152
122;Web Development;Toptal;Beginner;Europe;PayPal;139;5880;23.29;94.8;4.04;21;Hourly;26.84;219;-1.350762133;0.14783094795114085
123;Content Writing;PeoplePerHour;Intermediate;USA;Mobile Banking;50;4611;30.1;65.9;3.41;37;Fixed;57.07;263;0.4450598364421706;-1.27146883
124;Graphic Design;PeoplePerHour;Beginner;Asia;PayPal;13;8177;84.31;55.5;4.76;27;Hourly;67.82;410;1.6432625191198642;0.9568072939099389
125;Data Entry;PeoplePerHour;Intermediate;Australia;Bank Transfer;165;709;65.71;61.4;4.76;35;Hourly;57.12;207;0.7079182420847446;-0.712915079
126;Graphic Design;PeoplePerHour;Beginner;Europe;Mobile Banking;293;2172;43.56;71.36;4.74;38;Hourly;67.7;318;0.7692618630716043;0.1524682097915023
127;Graphic Design;Freelancer;Intermediate;UK;Crypto;110;1636;97.29;90.9;3.48;60;Fixed;37.79;81;-0.069388972;-0.915311076
128;Data Entry;Toptal;Intermediate;Australia;PayPal;294;4732;49.16;93.04;3.9;70;Hourly;20.94;24;-1.827327809;0.17448628145058884
129;SEO;Toptal;Intermediate;UK;Bank Transfer;92;6849;97.13;50.35;4.97;32;Hourly;61.66;185;1.1377981661568788;0.50763021
130;Data Entry;Upwork;Beginner;Canada;Crypto;196;8876;23.68;75.54;4.54;80;Fixed;35.23;431;-0.970501272;1.7897185348899451
131;App Development;PeoplePerHour;Intermediate;UK;Bank Transfer;157;7037;90.94;70.87;3.05;80;Hourly;56.99;384;1.4938694201654472;0.6089365863289457
132;Graphic Design;PeoplePerHour;Expert;Australia;PayPal;141;8025;6.31;61.11;3.13;27;Hourly;28.95;7;-1.218432437;-1.260329877
133;Customer Support;Upwork;Expert;Canada;Mobile Banking;277;2932;56.8;55.99;3.93;3;Hourly;15.69;123;0.043406113968508735;-0.390797896
134;Data Entry;Toptal;Beginner;Australia;Bank Transfer;153;5299;45.19;66.88;4.82;49;Fixed;79.48;148;0.2519115385070384;-0.346196286
135;SEO;Fiverr;Expert;Middle East;Mobile Banking;192;2861;54.88;97.15;4.08;85;Fixed;20.93;97;-1.867049584;-0.069372021
136;App Development;Fiverr;Expert;Australia;Mobile Banking;145;5577;57.58;66.16;4;30;Hourly;79.19;215;1.2376886734708343;-0.519172933
137;Customer Support;Toptal;Expert;Canada;Bank Transfer;135;1934;41.96;75.94;3.21;22;Fixed;78.41;100;0.9799331660268721;-2.234402417
138;Customer Support;PeoplePerHour;Beginner;UK;Bank Transfer;8;9760;99.83;85.15;4.31;19;Fixed;65.57;217;0.8258995817070343;0.8942772976862764
139;Web Development;Fiverr;Beginner;Middle East;Bank Transfer;267;8863;97.77;68.18;4.64;31;Fixed;56.16;366;1.4152530268516907;2.2165954872043114
140;Data Entry;Freelancer;Expert;USA;Mobile Banking;30;5123;96.37;98.59;3.76;20;Hourly;50.45;461;1.2731856898952236;0.7826728191879644
141;Data Entry;Freelancer;Beginner;USA;Crypto;28;9779;98.01;98.12;4.55;19;Hourly;70.63;412;1.1397648202424167;1.834194540447464
142;Graphic Design;Upwork;Intermediate;USA;PayPal;270;5466;80.34;62.59;4.93;2;Fixed;30.26;413;1.0041067520598768;1.8358511832118625
143;App Development;Toptal;Expert;USA;Crypto;233;5850;98.92;74.86;3.41;40;Hourly;42.74;258;1.1723198478267058;0.6395812472207622
144;Web Development;Toptal;Beginner;Europe;Mobile Banking;273;6945;89.77;65.04;4.05;39;Fixed;53.36;390;1.6243316523392202;1.4844596978960354
145;Digital Marketing;Fiverr;Beginner;USA;Bank Transfer;129;6365;44.51;64.24;3.57;72;Fixed;38.78;355;0.087577925;0.21265018511366626
146;Digital Marketing;PeoplePerHour;Expert;Canada;Bank Transfer;176;4980;79.55;51.84;4.59;54;Hourly;39.92;10;-0.196214181;-0.251297311
147;Content Writing;Toptal;Beginner;Asia;PayPal;238;2415;91.65;80.48;4.16;27;Fixed;33.12;415;1.0846088041658712;0.9930067073808523
148;Data Entry;Fiverr;Expert;USA;PayPal;299;904;72.7;75.13;4.27;79;Fixed;49.5;58;-0.225070076;-0.550523769
149;Data Entry;Fiverr;Beginner;Australia;Crypto;279;2778;45.16;52.57;4.6;12;Fixed;69.54;249;1.3524719271616346;-0.383085386
150;Web Development;Toptal;Intermediate;Asia;Crypto;80;965;11.25;63.93;3.79;78;Fixed;24.11;139;-1.512682061;-1.826451955
151;SEO;Fiverr;Expert;USA;PayPal;218;7223;81.92;95.41;4.83;71;Hourly;75.41;334;0.4634789064018571;1.7471513255594007
152;Digital Marketing;Upwork;Intermediate;Asia;Mobile Banking;162;4988;95.51;61.98;4.07;17;Fixed;58.24;37;1.0468560827322084;-0.546667598
153;Content Writing;Upwork;Expert;UK;Crypto;208;181;39.43;57.24;3.32;84;Hourly;67.63;121;0.585684135;-2.17762268
154;Web Development;Toptal;Beginner;Canada;Bank Transfer;153;9358;19.43;74.47;4.39;10;Fixed;48.93;407;0.009024368;1.1688292503900228
155;Data Entry;PeoplePerHour;Intermediate;Canada;Bank Transfer;79;3643;36.02;99.28;4.59;19;Hourly;64.57;64;-0.874872766;-0.964891339
156;Digital Marketing;Upwork;Beginner;Asia;Mobile Banking;233;9102;60.35;62.1;3.63;82;Fixed;11.13;145;-1.106643655;0.993317153
157;App Development;Upwork;Expert;Middle East;PayPal;66;343;35.11;83.61;4.71;30;Fixed;67.29;301;0.21273900589132647;-1.049632766
158;Content Writing;Toptal;Expert;Europe;Crypto;62;9241;63.01;88.08;4.81;30;Hourly;12.81;124;-1.855185536;1.277105850936358
159;Graphic Design;Freelancer;Expert;Australia;Bank Transfer;278;3735;96.85;61.88;3.55;25;Hourly;72.29;311;2.6216702636056413;0.042541252
160;Digital Marketing;Fiverr;Expert;Asia;PayPal;112;8066;68.72;86.41;4.97;88;Fixed;79.44;190;-0.293660471;0.9076250094202668
161;Content Writing;Upwork;Expert;Canada;Crypto;191;7812;39.45;68.39;3.28;74;Fixed;30.58;262;-0.479896006;0.3454073180162894
162;Web Development;Freelancer;Intermediate;UK;Mobile Banking;233;6896;93.9;81.62;3.4;66;Fixed;24.72;489;0.8285072107921136;1.9209858557755612
163;Graphic Design;PeoplePerHour;Expert;USA;Bank Transfer;52;7634;58.74;81.68;3.37;35;Fixed;63.58;360;0.9699475333470586;0.076647299
164;Content Writing;Freelancer;Beginner;Canada;Mobile Banking;272;7360;17.2;76.79;4.79;51;Fixed;27.71;449;-0.919010414;1.914889866277376
165;Content Writing;Toptal;Intermediate;UK;Mobile Banking;219;5406;52.4;54.51;4.31;71;Hourly;70.59;295;0.9329457134296109;0.16506793762297275
166;Customer Support;PeoplePerHour;Beginner;USA;Mobile Banking;294;336;67.1;91.77;3.3;71;Hourly;17.2;181;-0.642431563;-0.366041256
167;Customer Support;PeoplePerHour;Expert;Europe;Crypto;258;8691;84.63;66.04;3.88;27;Fixed;18.82;158;-0.012384187;1.2703586575767136
168;Customer Support;Freelancer;Beginner;Canada;Mobile Banking;91;6636;93.97;59.33;4.23;10;Hourly;78.54;352;2.422539589972582;0.37123207250632884
169;Data Entry;Toptal;Intermediate;Canada;Crypto;185;5353;35.15;52.04;3.17;43;Hourly;57.17;307;1.143654032123554;-0.750598597
170;SEO;Upwork;Intermediate;Asia;Crypto;29;3166;19.77;79.54;4.76;55;Fixed;69.28;477;0.1631130586194389;-0.158801911
171;Digital Marketing;Freelancer;Intermediate;Asia;Mobile Banking;226;5924;12.01;83.88;4.61;71;Hourly;32.7;286;-1.638455089;0.8307121331423031
172;Data Entry;Upwork;Beginner;UK;Mobile Banking;53;7020;75.14;50.83;4.01;6;Fixed;57.35;161;1.2161651681515162;-0.506414815
173;App Development;Freelancer;Intermediate;Middle East;PayPal;179;8198;80.54;75.6;4.93;6;Hourly;51.6;262;0.5692463549276628;1.5046214340936361
174;Graphic Design;Upwork;Beginner;Asia;Bank Transfer;278;8494;43.89;61.32;3.84;77;Hourly;52.22;216;-0.023577277;0.6916676079864833
175;SEO;Freelancer;Expert;Australia;PayPal;39;9661;42.61;82.26;4.97;48;Hourly;57.78;399;-0.349174667;1.4992208374778515
176;Content Writing;PeoplePerHour;Expert;Europe;Bank Transfer;221;1285;95.65;58.72;4.34;77;Hourly;50.28;405;1.4986811635853712;0.47337395432642887
177;Data Entry;Fiverr;Beginner;Australia;Bank Transfer;213;1049;92.08;84.55;4.27;2;Hourly;40.03;483;1.6386032387010347;0.8212615799169343
178;Customer Support;PeoplePerHour;Intermediate;Canada;PayPal;164;3810;27.16;69.34;3.33;83;Fixed;29.31;180;-0.964743937;-0.902411392
179;SEO;Upwork;Beginner;Australia;PayPal;11;4166;79.18;96.84;4.76;51;Hourly;63.8;90;-0.515620937;-0.37721184
180;App Development;Toptal;Beginner;USA;Bank Transfer;273;4461;64.16;56.88;3.85;61;Fixed;25.84;16;-0.541155048;-0.373497878
181;Digital Marketing;PeoplePerHour;Beginner;Europe;Bank Transfer;130;5607;19.65;67.05;3.32;19;Hourly;58.46;124;0.12716409319796784;-1.458762858
182;App Development;Fiverr;Expert;Australia;Bank Transfer;94;9688;38.89;55.67;3.03;2;Hourly;26.33;259;0.34755642053519603;-0.0577172
183;Graphic Design;Upwork;Beginner;USA;Crypto;46;5402;21.86;96.23;4.12;51;Hourly;53.77;444;-0.435637287;0.2666623481710646
